id,title,company_name,category,tags,job_type,publication_date,salary,keyword,collected_at
2090899,Staff Product Engineer (Florianópolis),LawnStarter,Product Management,"['AWS', 'backend', 'frontend', 'php', 'react', 'security', 'UI/UX', 'AI/ML', 'jira', 'react native', 'research', 'documentation', 'laravel', 'Typescript ', 'people management', 'prototyping', 'engineering management', 'marketplace', 'github', 'REST', 'datadog']",full_time,2026-05-27,$80k - $100k,python,2026-05-29
2090900,Staff Product Engineer (Belo Horizonte),LawnStarter,Product Management,"['AWS', 'backend', 'frontend', 'php', 'react', 'security', 'UI/UX', 'AI/ML', 'jira', 'react native', 'research', 'documentation', 'laravel', 'Typescript ', 'people management', 'prototyping', 'engineering management', 'marketplace', 'github', 'REST', 'datadog']",full_time,2026-05-27,$80k - $100k,python,2026-05-29
2090901,Staff Product Engineer (Porto Alegre),LawnStarter,Product Management,"['AWS', 'backend', 'frontend', 'php', 'react', 'security', 'UI/UX', 'AI/ML', 'jira', 'react native', 'research', 'documentation', 'laravel', 'Typescript ', 'people management', 'prototyping', 'engineering management', 'marketplace', 'github', 'REST', 'datadog']",full_time,2026-05-27,$80k - $100k,python,2026-05-29
2090903,Data Labeling Specialists,Workada,Data And Analytics,"['research', 'digital content', 'spreadsheets']",freelance,2026-05-27,$18 - $22/hr,python,2026-05-29
2090902,Staff Product Engineer (Campinas),LawnStarter,Product Management,"['AWS', 'backend', 'frontend', 'php', 'react', 'security', 'UI/UX', 'AI/ML', 'jira', 'react native', 'research', 'documentation', 'laravel', 'Typescript ', 'people management', 'prototyping', 'engineering management', 'marketplace', 'github', 'REST', 'datadog']",full_time,2026-05-26,$80k - $100k,python,2026-05-29
2090890,Staff Product Engineer (São Paulo),LawnStarter,Product Management,"['AWS', 'backend', 'frontend', 'php', 'react', 'security', 'UI/UX', 'AI/ML', 'jira', 'react native', 'research', 'documentation', 'laravel', 'Typescript ', 'people management', 'prototyping', 'engineering management', 'marketplace', 'github', 'REST', 'datadog']",full_time,2026-05-21,$80k - $100k,python,2026-05-29
2090887,Mid/Senior AI Cinematic Video Editor,EverAI,Artificial Intelligence,"['excel', 'video', 'AI/ML', 'customer acquisition', 'graphic design', 'video production', 'after effects', 'editing', 'SOLID', 'REST', 'insurance']",full_time,2026-05-19,,python,2026-05-29
2090885,Paid Media Specialist,Noventra Group Europe,Marketing,"['ecommerce', 'research', 'advertising', 'retail', 'A/B Testing', 'lead generation', 'google ads', 'testing', 'paid media']",freelance,2026-05-18,$65k - $85k,python,2026-05-29
1919265,Senior Independent Software Developer,A.Team,Software Development,"['go', 'wordpress', 'chat', 'apple', 'testing', 'catalyst']",contract,2026-05-16,$90 - $150 /hour,python,2026-05-29
1919266,Senior Independent AI Engineer / Architect,A.Team,Software Development,"['go', 'UI/UX', 'wordpress', 'chat', 'apple', 'testing', 'catalyst']",contract,2026-05-16,$120 - $170 /hour,python,2026-05-29
2088711,Senior Full-stack React Developer,Lemon.io,Software Development,"['.Net', 'android', 'AWS', 'azure', 'backend', 'C', 'C#', 'C++', 'data science', 'fullstack', 'golang', 'ios', 'java', 'javascript', 'node.js', 'php', 'python', 'react', 'react js', 'ruby/rails', 'shopify', 'video', 'blockchain', 'AI/ML', 'react native', 'rust', 'unity', 'spring', 'data analysis', 'laravel', 'solidity', 'flask', 'Typescript ', 'angular ', 'GCP', 'data engineering', 'Symfony', 'startup', 'marketplace', 'next.js']",contract,2026-05-15,,python,2026-05-29
2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Software Development,"['api', 'CSS', 'docker', 'elasticsearch', 'fullstack', 'html', 'javascript', 'kubernetes', 'postgresql', 'react', 'ror', 'ruby/rails', 'AI/ML', 'CAD', 'advertising', 'Redis', 'ES6', 'web applications', 'MySQL', 'NLP', 'fintech', 'Micro services', 'github', 'system architecture']",full_time,2026-05-14,$170k - $200k,python,2026-05-29
2090881,Business Transformation Lead,Expion Health,Artificial Intelligence,"['api', 'AI/ML', 'automation', 'healthcare', 'spark', 'startup', 'infrastructure', 'insurance']",full_time,2026-05-13,$175k - $225k,python,2026-05-29
1680495,Office Assistant,Coalition Technologies ,Marketing,"['CSS', 'excel', 'frontend', 'git', 'html', 'illustrator', 'magento', 'photoshop', 'php', 'shopify', 'wordpress', 'MySQL', 'startup', 'responsive', 'themes', 'bootstrap', 'insurance', 'jQuery', 'Ajax']",full_time,2026-05-11,"$31,2k- $52k",python,2026-05-29
2090878,Director of Revenue Systems and AI Automation (Offshore) ,Caul Group,Artificial Intelligence,"['api', 'AI/ML', 'automation', 'documentation', 'CRM', 'analytics', 'systems architecture', 'onboarding', 'infrastructure', 'REST']",contract,2026-05-11,$60k–$72k,python,2026-05-29
1956455,iOS Developer,nooro,Software Development,"['api', 'backend', 'git', 'ios', 'security', 'swift', 'UI/UX', 'Figma', 'agile', 'healthcare', 'startup', 'core data', 'github', 'REST', 'MVVM', 'mobile development']",full_time,2026-05-09,$60k-$130k (depending on experience),python,2026-05-29
2086540,Inside Sales Contractor,"Credit Wellness, LLC",Sales,"['CRM', 'google sheets', 'financial services', 'Inside Sales']",full_time,2026-05-08,OTE $25k - $35k,python,2026-05-29
1185979,Freelance Writer,IAPWE,Writing,['REST'],freelance,2026-05-04,$50-$75 /hour,python,2026-05-29
1749306,Copywriter,Coalition Technologies ,Writing,"['accounting', 'excel', 'research', 'data analysis', 'bookkeeping', 'google sheets', 'quickbooks', 'data entry', 'insurance', 'G Suite']",freelance,2026-05-02,$20k -$35k,python,2026-05-29
2090002,Senior DevOps Engineer,Lemon.io,Devops,"['.Net', 'android', 'AWS', 'azure', 'C', 'C#', 'C++', 'data science', 'golang', 'ios', 'java', 'javascript', 'kubernetes', 'node.js', 'php', 'python', 'react', 'ruby/rails', 'shopify', 'sql', 'video', 'blockchain', 'AI/ML', 'automation', 'react native', 'rust', 'unity', 'spring', 'data analysis', 'laravel', 'solidity', 'flask', 'Typescript ', 'terraform', 'angular ', 'GCP', 'data engineering', 'Symfony', 'startup', 'marketplace', 'next.js']",full_time,2026-04-30,,python,2026-05-29
